,x,y,id,name,house,good_bad,degree,main
0,0.2503708645479222,-0.19215372503661093,0,Regulus Arcturus Black,s,good,4,0
1,-0.0517870029640989,-0.03636519993774617,1,Sirius Black,g,good,12,0
2,-0.845102765454388,0.5283845334419491,2,Lavender Brown,g,bad,1,0
3,0.5561233384040813,-0.5973633442543772,3,Cho Chang,r,good,1,0
4,-0.40253103361803155,0.5921749909303698,4,Vincent Crabbe,s,bad,3,0
5,0.4312101842835787,0.7129684103663332,5,"Bartemius ""Barty"" Crouch Sr.",n,good,2,0
6,0.18925247968872735,0.33736925332171713,6,"Bartemius ""Barty"" Crouch Jr.",s,bad,9,0
7,0.8807699286775261,0.3054003897832333,7,Fleur Delacour,n,good,1,0
8,0.3374550184270761,-0.8177760157509264,8,Cedric Diggory,h,good,1,0
9,-0.048481993666619365,0.3329352080457092,9,Albus Dumbledore,g,good,18,1
10,0.35805833845574664,-0.10791314243728883,10,Dudley Dursley,m,bad,2,0
11,0.17318565511439318,0.24415718906995093,11,Petunia Dursley,m,bad,4,0
12,-0.021507092695540467,0.6662450881573332,12,Vernon Dursley,m,bad,3,0
13,-0.23080683224681522,-0.08675795888728419,13,Argus Filch,n,bad,10,0
14,0.017073544617826952,0.8004431297226463,14,Cornelius Fudge,n,bad,3,0
15,-0.5767648126139964,0.3223872967997955,15,Gregory Goyle,s,bad,3,0
16,-0.301283388748817,0.2538332845494809,16,Hermione Granger,g,good,19,1
17,0.17339660404295976,-0.4027205290315285,17,Rubeus Hagrid,g,good,3,0
18,0.20493270762352916,-0.8754404642070358,18,Igor Karkaroff,n,good,1,0
19,0.3021290437436401,0.1749818040246756,19,Bellatrix Lestrange,s,bad,11,0
20,-0.09257025824226059,-0.8996862848973843,20,Frank Longbottom,g,good,1,0
21,0.40571896553717346,0.10633145035165373,21,Neville Longbottom,g,good,2,0
22,-0.26621574760870326,-0.5783061395370741,22,Remus Lupin,g,good,2,0
23,0.03243230018842739,0.3995410875369146,23,Draco Malfoy,s,bad,7,0
24,0.2190464479764995,0.45881305352271357,24,Lucius Malfoy,s,bad,7,0
25,-0.6717728656405596,-0.16585825281145042,25,Narcissa Malfoy,s,bad,1,0
26,-0.0008660677541048876,0.02721165309068016,26,Minerva McGonagall,g,good,6,0
27,0.23428276335277573,0.042744885730325394,27,"Alastor ""Mad-Eye"" Moody",n,good,5,0
28,-0.2502794431505387,-0.1262338954787469,28,Peter Pettigrew,g,bad,19,1
29,-0.10522659145683244,0.2776870281508311,29,Harry Potter,g,good,22,1
30,-0.24143739004039938,-0.3210481364702393,30,James Potter,g,good,7,0
31,-0.007701861151860325,-0.18029194159688886,31,Lily Potter,g,good,5,0
32,-0.16503258115080707,0.10087223898736103,32,Quirinus Quirrell,r,bad,11,0
33,0.07941838661890625,-0.598660963073562,33,Tom Riddle Sr.,m,good,5,0
34,0.4516289069423065,-0.7191529748535042,34,Mary Riddle,m,good,1,0
35,0.03549866440440348,-0.2964398527804408,35,Lord Voldemort,s,bad,37,1
36,-0.14955454869000703,0.5742056962555572,36,Rita Skeeter,n,bad,5,0
37,0.11041181234375815,-0.0713084400115318,37,Severus Snape,s,good,4,0
38,0.5500036701622321,-0.22302915989336916,38,Nymphadora Tonks,h,good,2,0
39,-0.21824327479000832,0.37398414680000436,39,Dolores Janes Umbridge,n,bad,12,0
40,0.2727805116947186,1.0,40,Arthur Weasley,g,good,2,0
41,-0.2501537061575315,-0.841505673080493,41,Bill Weasley,g,good,1,0
42,0.058528672699903014,-0.8898989859210114,42,Charlie Weasley,g,good,1,0
43,-0.4553757213370776,-0.29844211989866565,43,Fred Weasley,g,good,3,0
44,-0.3831536007882837,-0.4052016542670742,44,George Weasley,g,good,3,0
45,-0.4193513088447171,-0.5415739155492407,45,Ginny Weasley,g,good,2,0
46,0.5055005483243491,0.06129799341010642,46,Molly Weasley,g,good,3,0
47,-0.21000750845495306,0.24912352381498656,47,Ron Weasley,g,good,14,0
48,0.4321735096032604,0.4764353696029279,48,Dobby,n,good,5,0
49,-0.475566835511169,0.37903960254525637,49,Fluffy,n,bad,4,0
50,-0.420608634697598,0.4745604616509701,50,Aragog,n,bad,4,0
